Language1,Language2,CompSci,Physics,Chemistry,Maths,Biology,economics,commerce,accountancy,Course
95,50,65,80,74,94,0,0,0,0,water_resources_engineering
50,50,70,77,88,71,0,0,0,0,water_resources_engineering
35,37,79,87,86,89,0,0,0,0,water_resources_engineering
55,70,80,81,89,95,0,0,0,0,water_resources_engineering
55,60,78,82,83,90,0,0,0,0,water_resources_engineering
39,40,91,89,78,90,0,0,0,0,naval_architecture_and_ocean_engineering
39,40,89,80,89,89,0,0,0,0,naval_architecture_and_ocean_engineering
39,40,95,98,94,89,0,0,0,0,naval_architecture_and_ocean_engineering
98,94,95,93,92,91,0,0,0,0,marine_engineering
98,94,81,91,78,90,0,0,0,0,marine_engineering
98,94,80,70,71,81,0,0,0,0,marine_engineering
83,89,0,84,87,98,85,0,0,0,chemical_engineering
83,89,0,81,78,89,81,0,0,0,chemical_engineering
83,89,0,70,89,70,71,0,0,0,chemical_engineering
84,78,0,86,78,87,65,0,0,0,structural_engineering
84,78,0,70,89,71,79,0,0,0,structural_engineering
84,78,0,81,78,78,89,0,0,0,structural_engineering
67,54,0,60,60,54,61,0,0,0,fire_protection_engineering
67,54,0,80,71,65,70,0,0,0,fire_protection_engineering
67,54,0,70,80,75,70,0,0,0,fire_protection_engineering
86,45,0,80,97,97,99,0,0,0,textile_engineering
86,45,0,71,90,80,80,0,0,0,textile_engineering
86,45,0,70,89,70,89,0,0,0,textile_engineering
87,74,0,88,95,99,100,0,0,0,electronics_engineering
87,74,0,80,90,70,93,0,0,0,electronics_engineering
87,74,0,81,90,89,99,0,0,0,electronics_engineering
89,89,0,89,87,89,78,0,0,0,aerospac_engineering
89,89,0,79,80,85,80,0,0,0,aerospac_engineering
89,89,0,70,80,90,90,0,0,0,aerospac_engineering
48,86,0,85,75,87,98,0,0,0,agriculture_and_food_engineering
48,86,0,81,79,80,80,0,0,0,agriculture_and_food_engineering
48,86,0,80,80,89,93,0,0,0,agriculture_and_food_engineering
78,97,0,89,90,76,78,0,0,0,automobile_engineering
78,97,0,90,79,75,89,0,0,0,automobile_engineering
78,97,0,79,91,89,79,0,0,0,automobile_engineering
91,88,0,75,65,68,69,0,0,0,textile_engineering
91,88,0,71,78,71,71,0,0,0,textile_engineering
91,88,0,80,88,78,71,0,0,0,textile_engineering
89,75,0,70,84,70,69,0,0,0,ceramic_engineering
89,75,0,80,71,79,80,0,0,0,ceramic_engineering
89,75,0,80,81,75,79,0,0,0,ceramic_engineering
47,56,0,91,90,80,75,0,0,0,chemical_engineering
47,56,0,80,87,78,81,0,0,0,chemical_engineering
47,56,0,89,91,87,89,0,0,0,chemical_engineering
68,45,0,78,89,89,98,0,0,0,civil_engineering
68,45,0,89,79,89,90,0,0,0,civil_engineering
68,45,0,70,90,79,89,0,0,0,civil_engineering
45,74,0,84,78,84,65,0,0,0,fire_protection_engineering
45,74,0,78,89,71,70,0,0,0,fire_protection_engineering
45,74,0,78,89,71,70,0,0,0,fire_protection_engineering
87,78,78,91,90,89,85,0,0,0,electrical_engineering
87,78,69,70,91,80,89,0,0,0,electrical_engineering
87,78,71,81,79,89,90,0,0,0,electrical_engineering
68,74,60,75,69,91,65,0,0,0,electronics_engineering
68,74,57,89,80,90,78,0,0,0,electronics_engineering
68,74,80,75,79,81,80,0,0,0,electronics_engineering
59,75,98,68,78,79,61,0,0,0,civil_engineering
59,75,61,70,79,80,80,0,0,0,civil_engineering
59,75,80,80,77,71,100,0,0,0,civil_engineering
90,78,95,62,62,77,78,0,0,0,environmental_engineering
90,78,89,71,77,80,98,0,0,0,environmental_engineering
90,78,90,81,79,67,78,0,0,0,environmental_engineering
95,85,86,69,69,67,69,0,0,0,industrial_and_production_engineering
95,85,70,71,90,81,69,0,0,0,industrial_and_production_engineering
95,85,79,89,80,70,75,0,0,0,industrial_and_production_engineering
86,84,84,85,78,87,98,0,0,0,industrial_engineering
86,84,71,89,89,90,65,0,0,0,industrial_engineering
86,84,80,75,81,90,85,0,0,0,industrial_engineering
84,65,67,94,75,71,65,0,0,0,engineering_physics
84,65,80,91,70,79,61,0,0,0,engineering_physics
84,65,71,90,85,80,99,0,0,0,engineering_physics
95,89,81,91,61,92,100,0,0,0,instrumentation_engineering
95,89,70,81,81,89,78,0,0,0,instrumentation_engineering
95,89,89,80,91,85,98,0,0,0,instrumentation_engineering
84,82,87,85,75,82,78,0,0,0,marine_engineering
84,82,90,91,80,91,69,0,0,0,marine_engineering
84,82,71,78,89,81,69,0,0,0,marine_engineering
82,84,82,68,94,97,75,0,0,0,mechanical_engineering
82,84,78,79,90,91,98,0,0,0,mechanical_engineering
82,84,71,70,89,99,65,0,0,0,mechanical_engineering
83,48,75,64,78,65,85,0,0,0,metallurgical_engineering
83,48,70,57,82,81,65,0,0,0,metallurgical_engineering
83,48,71,70,85,79,61,0,0,0,metallurgical_engineering
84,75,67,77,78,74,99,0,0,0,naval_architecture_and_ocean_engineering
84,75,61,72,80,80,100,0,0,0,naval_architecture_and_ocean_engineering
84,75,71,81,80,81,78,0,0,0,naval_architecture_and_ocean_engineering
60,95,61,88,99,96,98,0,0,0,petroleum_engineering
60,95,51,71,90,89,78,0,0,0,petroleum_engineering
60,95,71,81,81,91,69,0,0,0,petroleum_engineering
66,85,60,95,98,60,69,0,0,0,textile_engineering
66,85,60,63,91,71,75,0,0,0,textile_engineering
66,85,71,70,80,71,98,0,0,0,textile_engineering
64,60,86,99,96,75,65,0,0,0,production_and_industrial_engineering
64,60,61,71,88,81,85,0,0,0,production_and_industrial_engineering
64,60,65,77,90,71,65,0,0,0,production_and_industrial_engineering
75,98,78,96,91,98,61,0,0,0,bsc_pcm
75,98,61,71,81,92,99,0,0,0,bsc_pcm
75,98,45,55,89,90,100,0,0,0,bsc_pcm
95,85,84,98,97,97,78,0,0,0,bsc_physics
95,85,71,81,90,90,98,0,0,0,bsc_physics
95,85,81,77,91,90,78,0,0,0,bsc_physics
85,89,98,79,95,95,69,0,0,0,bsc_chemistry
85,89,75,81,89,91,69,0,0,0,bsc_chemistry
85,89,91,80,91,99,75,0,0,0,bsc_chemistry
48,99,84,98,86,96,98,0,0,0,bsc_maths
48,99,86,82,85,89,65,0,0,0,bsc_maths
48,99,65,71,69,91,89,0,0,0,bsc_maths
75,89,85,87,87,94,93,0,0,0,bsc_sports_science
75,89,77,82,91,96,89,0,0,0,bsc_sports_science
75,89,87,78,91,89,78,0,0,0,bsc_sports_science
65,95,96,88,84,98,80,0,0,0,bsc_audiology
65,95,91,81,89,97,72,0,0,0,bsc_audiology
65,95,89,87,82,91,74,0,0,0,bsc_audiology
48,96,85,99,95,91,76,0,0,0,bsc_biochemistry
48,96,78,91,90,80,78,0,0,0,bsc_biochemistry
48,96,81,89,92,90,75,0,0,0,bsc_biochemistry
75,91,75,77,78,87,78,0,0,0,bsc_computer_science
75,91,67,79,90,71,79,0,0,0,bsc_computer_science
75,91,80,74,88,93,65,0,0,0,bsc_computer_science
48,82,84,95,78,85,88,0,0,0,bsc_electronic
55,69,79,89,92,89,69,0,0,0,bsc_electronic
53,79,85,96,80,85,54,0,0,0,bsc_electronic
35,48,65,75,85,54,59,0,0,0,bsc_animation
51,53,73,80,85,71,65,0,0,0,bsc_animation
47,57,67,77,87,64,58,0,0,0,bsc_animation
38,77,42,68,60,67,60,0,0,0,bsc_information_technology
50,50,52,71,69,72,71,0,0,0,bsc_information_technology
40,75,67,69,60,70,95,0,0,0,bsc_information_technology
39,47,85,86,54,85,85,0,0,0,bsc_electronic
43,52,87,81,80,89,75,0,0,0,bsc_electronic
47,54,84,82,64,90,92,0,0,0,bsc_electronic
48,55,68,58,75,87,92,0,0,0,bsc_biochemistry
58,70,77,68,92,94,97,0,0,0,bsc_biochemistry
51,65,70,77,80,90,54,0,0,0,bsc_biochemistry
45,78,74,59,76,64,56,0,0,0,bsc_chemistry
67,66,56,80,80,80,70,0,0,0,bsc_chemistry
60,65,74,70,76,78,85,0,0,0,bsc_chemistry
42,74,69,68,64,58,78,0,0,0,bsc_computer_science
80,75,90,71,51,60,85,0,0,0,bsc_computer_science
55,60,100,68,70,73,66,0,0,0,bsc_computer_science
47,68,81,86,80,84,70,0,0,0,bsc_food_technology
55,63,83,81,70,91,70,0,0,0,bsc_food_technology
60,65,81,78,80,90,61,0,0,0,bsc_food_technology
74,85,75,75,67,51,77,0,0,0,bsc_electronic
69,81,65,75,71,54,70,0,0,0,bsc_electronic
78,80,71,79,70,69,98,0,0,0,bsc_electronic
75,71,74,78,78,49,92,0,0,0,bsc_fashion_technology
70,78,74,69,77,65,85,0,0,0,bsc_fashion_technology
85,66,89,76,71,59,79,0,0,0,bsc_fashion_technology
72,47,59,59,59,50,75,0,0,0,bsc_multimedia
82,49,65,82,72,55,76,0,0,0,bsc_multimedia
72,57,60,55,54,50,74,0,0,0,bsc_multimedia
45,58,69,68,60,55,67,0,0,0,bsc_animation
60,51,78,89,64,75,70,0,0,0,bsc_animation
55,60,69,70,62,58,45,0,0,0,bsc_animation
35,68,0,79,78,89,55,0,0,0,bsc_forestry
55,62,0,79,71,79,60,0,0,0,bsc_forestry
45,70,0,81,75,91,89,0,0,0,bsc_forestry
47,97,0,79,79,77,78,0,0,0,bsc_medical_technology
67,67,0,71,59,77,80,0,0,0,bsc_medical_technology
55,92,0,80,71,71,72,0,0,0,bsc_medical_technology
48,91,0,89,74,79,74,0,0,0,bsc_microbiology
55,85,0,90,73,83,76,0,0,0,bsc_microbiology
66,78,0,82,75,79,78,0,0,0,bsc_microbiology
84,54,0,93,89,85,75,0,0,0,bsc_dietetics
83,67,0,81,90,84,78,0,0,0,bsc_dietetics
88,64,0,89,81,85,79,0,0,0,bsc_dietetics
75,85,0,87,85,85,65,0,0,0,bsc_zoology
72,79,0,93,85,81,88,0,0,0,bsc_zoology
77,81,0,83,84,88,69,0,0,0,bsc_zoology
68,95,0,67,65,68,54,0,0,0,bsc_nursing
72,92,0,66,69,72,59,0,0,0,bsc_nursing
77,89,0,70,81,70,65,0,0,0,bsc_nursing
84,84,0,55,59,58,58,0,0,0,bsc_nutrition
79,79,0,56,67,65,60,0,0,0,bsc_nutrition
84,82,0,65,79,68,71,0,0,0,bsc_nutrition
45,88,0,97,98,99,95,0,0,0,bsc_genetics
55,88,0,93,92,79,85,0,0,0,bsc_genetics
58,78,0,87,91,89,75,0,0,0,bsc_genetics
75,68,0,92,94,91,92,0,0,0,bsc_psychology
75,68,0,92,94,91,92,0,0,0,bsc_psychology
85,78,0,95,94,96,97,0,0,0,bsc_psychology
48,71,0,76,70,75,54,0,0,0,bfsc_fisheries_science
50,61,0,67,70,74,56,0,0,0,bfsc_fisheries_science
55,81,0,86,80,78,70,0,0,0,bfsc_fisheries_science
68,82,0,85,81,80,85,0,0,0,bsc_radiology
75,89,0,84,80,75,78,0,0,0,bsc_radiology
70,80,0,75,85,90,85,0,0,0,bsc_radiology
75,84,0,75,65,69,66,0,0,0,bsc_anthropology
73,87,0,77,69,75,70,0,0,0,bsc_anthropology
77,80,0,76,67,70,70,0,0,0,bsc_anthropology
46,68,0,76,74,50,61,0,0,0,bsc_biotechnology
56,70,0,67,72,59,77,0,0,0,bsc_biotechnology
50,72,0,77,70,55,70,0,0,0,bsc_biotechnology
47,57,0,87,90,89,98,0,0,0,bsc_botany
57,60,0,85,78,85,92,0,0,0,bsc_botany
55,65,0,85,91,84,85,0,0,0,bsc_botany
70,87,0,89,70,78,79,0,0,0,bsc_environmental_science
73,77,0,79,70,80,75,0,0,0,bsc_environmental_science
75,85,0,75,71,70,76,0,0,0,bsc_environmental_science
58,96,0,79,76,79,74,0,0,0,bsc_nursing
60,79,0,80,65,77,67,0,0,0,bsc_nursing
65,78,0,75,81,88,70,0,0,0,bsc_nursing
45,74,0,68,59,50,45,0,0,0,bsc_occupational_therapy
55,65,0,70,76,74,55,0,0,0,bsc_occupational_therapy
50,74,0,68,60,70,60,0,0,0,bsc_occupational_therapy
95,85,98,0,0,0,0,97,99,100,llb 
94,90,88,0,0,0,0,91,89,95,llb 
90,84,75,0,0,0,0,88,82,92,llb 
98,98,100,0,0,0,0,98,98,95,ba_political_science
90,90,90,0,0,0,0,80,83,85,ba_political_science
95,89,93,0,0,0,0,88,78,90,ba_political_science
97,95,89,0,0,0,0,95,95,85,ba_history
90,90,82,0,0,0,0,90,78,85,ba_history
90,87,83,0,0,0,0,96,53,70,ba_history
95,97,89,0,0,0,0,96,96,42,ba_psychology
92,87,90,0,0,0,0,85,74,65,ba_psychology
90,89,78,0,0,0,0,68,87,58,ba_psychology
94,99,85,0,0,0,0,98,97,80,ba_philosophy
94,89,85,0,0,0,0,92,94,78,ba_philosophy
90,92,85,0,0,0,0,92,97,70,ba_philosophy
85,96,98,0,0,0,0,99,91,65,ba_social_work
90,93,91,0,0,0,0,80,91,76,ba_social_work
89,70,91,0,0,0,0,89,89,75,ba_social_work
79,94,94,0,0,0,0,99,85,100,ba_economics
89,94,95,0,0,0,0,93,87,93,ba_economics
80,80,91,0,0,0,0,97,85,98,ba_economics
89,78,80,0,0,0,0,91,82,98,ba_archaeology
80,98,89,0,0,0,0,100,84,100,ba_archaeology
99,97,77,0,0,0,0,79,84,90,ba_archaeology
89,94,88,0,0,0,0,100,87,89,ba_sociology
80,60,89,0,0,0,0,66,89,71,ba_sociology
80,85,90,0,0,0,0,91,87,80,ba_sociology
99,97,77,0,0,0,0,79,84,88,ba_geography
80,60,89,0,0,0,0,45,89,71,ba_geography
90,70,80,0,0,0,0,62,89,75,ba_geography
90,97,98,0,0,0,0,68,82,81,ba_criminology
92,87,89,0,0,0,0,78,78,75,ba_criminology
80,60,92,0,0,0,0,70,82,90,ba_criminology
85,54,95,0,0,0,0,64,75,84,ba_journalism
75,60,70,0,0,0,0,62,70,84,ba_journalism
80,60,92,0,0,0,0,61,72,80,ba_journalism
74,86,78,0,0,0,0,68,71,74,ba_rural_studies
57,51,65,0,0,0,0,68,78,72,ba_rural_studies
45,45,55,0,0,0,0,66,45,89,ba_rural_studies
85,95,74,0,0,0,0,69,76,79,ba_hindi
90,70,70,0,0,0,0,60,56,66,ba_hindi
95,95,70,0,0,0,0,67,76,49,ba_hindi
84,94,75,0,0,0,0,75,78,72,ba_bengali
90,90,57,0,0,0,0,80,90,45,ba_bengali
94,90,45,0,0,0,0,54,56,72,ba_bengali
86,45,86,0,0,0,0,78,74,71,ba_tamil
90,89,75,0,0,0,0,68,70,71,ba_tamil
96,55,53,0,0,0,0,69,71,78,ba_tamil
82,96,84,0,0,0,0,48,88,68,ba_marathi
85,84,82,0,0,0,0,75,68,84,ba_telugu
98,84,50,0,0,0,0,75,55,61,ba_telugu
90,50,90,0,0,0,0,70,79,85,ba_telugu
84,75,83,0,0,0,0,79,64,74,ba_kannada
90,75,45,0,0,0,0,50,60,66,ba_kannada
92,70,55,0,0,0,0,80,64,53,ba_kannada
82,68,64,0,0,0,0,74,79,75,ba_malayalam
87,77,66,0,0,0,0,57,50,70,ba_malayalam
95,70,40,0,0,0,0,60,61,55,ba_malayalam
75,58,78,0,0,0,0,75,74,68,ba_assamese
80,70,45,41,0,0,0,42,43,61,ba_assamese
90,70,50,51,0,0,0,42,45,50,ba_assamese
65,78,71,0,0,0,0,75,75,48,ba_bihari
70,49,50,0,0,0,0,40,40,50,ba_bihari
95,64,55,0,0,0,0,54,55,61,ba_bihari
64,45,75,0,0,0,0,82,71,81,ba_odiya
90,55,65,0,0,0,0,51,57,60,ba_odiya
98,45,50,0,0,0,0,60,55,50,ba_odiya
95,41,78,58,62,76,0,0,0,0,ba_tamil
98,80,45,45,43,49,0,0,0,0,ba_tamil
94,70,45,35,35,35,0,0,0,0,ba_tamil
54,45,74,54,95,74,0,0,0,0,ba_psychology
79,91,50,50,45,45,0,0,0,0,ba_psychology
60,80,71,54,67,45,0,0,0,0,ba_psychology
55,75,75,56,85,72,0,0,0,0,ba_german
97,75,50,50,51,45,0,0,0,0,ba_german
50,90,70,35,35,35,0,0,0,0,ba_german
56,69,42,57,75,69,0,0,0,0,ba_french
77,50,50,55,67,65,0,0,0,0,ba_french
70,72,54,59,70,60,0,0,0,0,ba_french
57,45,40,52,60,57,0,0,0,0,ba_italian
50,60,40,50,71,62,0,0,0,0,ba_italian
56,66,45,51,74,58,0,0,0,0,ba_italian
90,92,45,50,50,52,0,0,0,0,ba_hebrew
98,91,45,57,54,51,0,0,0,0,ba_hebrew
78,61,67,52,62,54,0,0,0,0,ba_hebrew
45,60,84,57,69,75,0,0,0,0,ba_spanish
55,65,80,60,60,61,0,0,0,0,ba_spanish
50,58,70,55,60,65,0,0,0,0,ba_spanish
48,57,0,53,45,45,68,0,0,0,ba_russian
50,45,0,55,53,50,55,0,0,0,ba_russian
50,47,0,50,50,50,50,0,0,0,ba_russian
46,66,0,52,52,68,54,0,0,0,ba_chinese
50,60,0,47,56,73,59,0,0,0,ba_chinese
50,60,0,47,56,73,59,0,0,0,ba_chinese
42,56,0,57,36,52,55,0,0,0,ba_japanese
48,59,0,50,55,50,59,0,0,0,ba_japanese
50,60,0,57,57,50,53,0,0,0,ba_japanese
50,49,0,62,47,57,50,0,0,0,ba_photography
50,60,0,70,34,53,48,0,0,0,ba_photography
47,55,0,58,34,84,51,0,0,0,ba_photography
42,54,0,60,39,69,45,0,0,0,ba_korean
55,35,0,70,47,59,53,0,0,0,ba_korean
50,50,0,62,45,65,61,0,0,0,ba_korean
39,52,0,45,40,48,35,0,0,0,ba_agro_sciences
50,53,0,57,67,58,60,0,0,0,ba_agro_sciences
45,55,0,50,47,48,60,0,0,0,ba_agro_sciences
37,40,0,65,45,55,70,0,0,0,"ba_airlines, hospitality_and_custome_care"
40,35,0,55,45,60,55,0,0,0,"ba_airlines, hospitality_and_custome_care"
38,39,0,42,52,42,39,0,0,0,"ba_airlines, hospitality_and_custome_care"
40,60,55,72,69,55,0,0,0,0,ba_ancient_history
43,58,50,71,61,50,0,0,0,0,ba_ancient_history
50,50,50,61,57,40,0,0,0,0,ba_ancient_history
41,66,66,41,54,39,0,0,0,0,ba_ancient_history
50,60,47,60,55,51,0,0,0,0,ba_ancient_indian_culture
50,50,57,60,47,50,0,0,0,0,ba_ancient_indian_culture
42,64,64,48,53,37,0,0,0,0,ba_ancient_indian_culture
40,60,57,40,60,55,0,0,0,0,ba_arabic
42,41,62,46,57,45,0,0,0,0,ba_arabic
40,50,57,50,57,40,0,0,0,0,ba_arabic
43,47,57,39,57,55,0,0,0,0,ba_cinematography
50,40,78,35,65,60,0,0,0,0,ba_cinematography
41,45,68,35,58,54,0,0,0,0,ba_cinematography
67,47,39,55,60,50,0,0,0,0,ba_corporate_secretaryship
50,55,54,45,67,41,0,0,0,0,ba_corporate_secretaryship
48,39,59,35,69,38,0,0,0,0,ba_corporate_secretaryship
50,57,51,47,37,65,0,0,0,0,ba_comparative_religion
45,51,52,50,50,40,0,0,0,0,ba_comparative_religion
35,38,46,34,42,41,0,0,0,0,ba_comparative_religion
