Language1,Language2,CompSci,Physics,Chemistry,Maths,Course
84,75,61,72,80,80,naval_architecture_and_ocean_engineering
84,75,71,81,80,81,naval_architecture_and_ocean_engineering
60,95,61,88,99,96,petroleum_engineering
60,95,51,71,90,89,petroleum_engineering
60,95,71,81,81,91,petroleum_engineering
66,85,60,95,98,60,textile_engineering
66,85,60,63,91,71,textile_engineering
66,85,71,70,80,71,textile_engineering
64,60,86,99,96,75,production_and_industrial_engineering
64,60,61,71,88,81,production_and_industrial_engineering
64,60,65,77,90,71,production_and_industrial_engineering
75,98,78,96,91,98,bsc_pcm
75,98,61,71,81,92,bsc_pcm
75,98,45,55,89,90,bsc_pcm
95,85,84,98,97,97,bsc_physics
95,85,71,81,90,90,bsc_physics
95,85,81,77,91,90,bsc_physics
85,89,98,79,95,95,bsc_chemistry
85,89,75,81,89,91,bsc_chemistry
85,89,91,80,91,99,bsc_chemistry
48,99,84,98,86,96,bsc_maths
48,99,86,82,85,89,bsc_maths
48,99,65,71,69,91,bsc_maths
75,89,85,87,87,94,bsc_sports_science
75,89,77,82,91,96,bsc_sports_science
75,89,87,78,91,89,bsc_sports_science
75,91,75,77,78,87,bsc_computer_science
75,91,67,79,90,71,bsc_computer_science
75,91,80,74,88,93,bsc_computer_science
48,82,84,95,78,85,bsc_electronic
55,69,79,89,92,89,bsc_electronic
53,79,85,96,80,85,bsc_electronic
35,48,65,75,85,54,bsc_animation
51,53,73,80,85,71,bsc_animation
47,57,67,77,87,64,bsc_animation
38,77,42,68,60,67,bsc_information_technology
50,50,52,71,69,72,bsc_information_technology
40,75,67,69,60,70,bsc_information_technology
39,47,85,86,54,85,bsc_electronic
43,52,87,81,80,89,bsc_electronic
47,54,84,82,64,90,bsc_electronic
45,78,74,59,76,64,bsc_chemistry
67,66,56,80,80,80,bsc_chemistry
60,65,74,70,76,78,bsc_chemistry
42,74,69,68,64,58,bsc_computer_science
80,75,90,71,51,60,bsc_computer_science
55,60,100,68,70,73,bsc_computer_science
47,68,81,86,80,84,bsc_food_technology
55,63,83,81,70,91,bsc_food_technology
60,65,81,78,80,90,bsc_food_technology
74,85,75,75,67,51,bsc_electronic
69,81,65,75,71,54,bsc_electronic
78,80,71,79,70,69,bsc_electronic
75,71,74,78,78,49,bsc_fashion_technology
70,78,74,69,77,65,bsc_fashion_technology
85,66,89,76,71,59,bsc_fashion_technology
72,47,59,59,59,50,bsc_multimedia
82,49,65,82,72,55,bsc_multimedia
72,57,60,55,54,50,bsc_multimedia
45,58,69,68,60,55,bsc_animation
60,51,78,89,64,75,bsc_animation
55,60,69,70,62,58,bsc_animation
95,95,79,78,73,90,ba_journalism
85,83,85,82,72,82,ba_journalism
97,93,82,91,86,77,ba_journalism
54,45,74,54,95,74,ba_psychology
79,91,50,50,45,45,ba_psychology
60,80,71,54,67,45,ba_psychology
40,60,55,72,69,55,ba_ancient_history
43,58,50,71,61,50,ba_ancient_history
50,50,50,61,57,40,ba_ancient_history
41,66,66,41,54,39,ba_ancient_history
50,60,47,60,55,51,ba_ancient_indian_culture
50,50,57,60,47,50,ba_ancient_indian_culture
42,64,64,48,53,37,ba_ancient_indian_culture
43,47,57,39,57,55,ba_cinematography
50,40,78,35,65,60,ba_cinematography
41,45,68,35,58,54,ba_cinematography
67,47,39,55,60,50,ba_corporate_secretaryship
50,55,54,45,67,41,ba_corporate_secretaryship
48,39,59,35,69,38,ba_corporate_secretaryship
50,57,51,47,37,65,ba_comparative_religion
45,51,52,50,50,40,ba_comparative_religion
35,38,46,34,42,41,ba_comparative_religion
